"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
244 0.0028534 1.4098 11289
244.1 0.0028714 1.4181 11288
244.2 0.0028895 1.4265 11287
244.3 0.0029077 1.4349 11285
244.4 0.002926 1.4433 11284
244.5 0.0029443 1.4518 11283
244.6 0.0029628 1.4604 11281
244.7 0.0029814 1.4689 11280
244.8 0.003 1.4775 11279
244.9 0.0030188 1.4862 11278
245 0.0030376 1.4949 11276
245.1 0.0030566 1.5036 11275
245.2 0.0030757 1.5124 11274
245.3 0.0030948 1.5212 11272
245.4 0.0031141 1.5301 11271
245.5 0.0031334 1.539 11270
245.6 0.0031529 1.5479 11268
245.7 0.0031725 1.5569 11267
245.8 0.0031921 1.566 11266
245.9 0.0032119 1.575 11264
246 0.0032318 1.5842 11263
246.1 0.0032518 1.5933 11262
246.2 0.0032719 1.6025 11261
246.3 0.0032921 1.6118 11259
246.4 0.0033124 1.6211 11258
246.5 0.0033328 1.6304 11257
246.6 0.0033533 1.6398 11255
246.7 0.0033739 1.6493 11254
246.8 0.0033946 1.6587 11253
246.9 0.0034154 1.6683 11251
247 0.0034364 1.6778 11250
247.1 0.0034574 1.6874 11249
247.2 0.0034786 1.6971 11247
247.3 0.0034998 1.7068 11246
247.4 0.0035212 1.7166 11245
247.5 0.0035427 1.7264 11244
247.6 0.0035643 1.7362 11242
247.7 0.003586 1.7461 11241
247.8 0.0036078 1.756 11240
247.9 0.0036297 1.766 11238
248 0.0036518 1.776 11237
248.1 0.0036739 1.7861 11236
248.2 0.0036962 1.7962 11234
248.3 0.0037186 1.8064 11233
248.4 0.0037411 1.8166 11232
248.5 0.0037637 1.8269 11230
248.6 0.0037864 1.8372 11229
248.7 0.0038093 1.8476 11228
248.8 0.0038322 1.858 11226
248.9 0.0038553 1.8685 11225
249 0.0038785 1.879 11224
249.1 0.0039018 1.8895 11223
249.2 0.0039252 1.9002 11221
249.3 0.0039488 1.9108 11220
249.4 0.0039724 1.9215 11219
249.5 0.0039962 1.9323 11217
249.6 0.0040201 1.9431 11216
249.7 0.0040441 1.9539 11215
249.8 0.0040683 1.9649 11213
249.9 0.0040926 1.9758 11212
250 0.0041169 1.9868 11211
250.1 0.0041415 1.9979 11209
250.2 0.0041661 2.009 11208
250.3 0.0041908 2.0202 11207
250.4 0.0042157 2.0314 11205
250.5 0.0042407 2.0426 11204
250.6 0.0042659 2.0539 11203
250.7 0.0042911 2.0653 11202
250.8 0.0043165 2.0767 11200
250.9 0.004342 2.0882 11199
251 0.0043677 2.0997 11198
251.1 0.0043934 2.1113 11196
251.2 0.0044193 2.1229 11195
251.3 0.0044453 2.1346 11194
251.4 0.0044715 2.1464 11192
251.5 0.0044978 2.1581 11191
251.6 0.0045242 2.17 11190
251.7 0.0045507 2.1819 11188
251.8 0.0045774 2.1938 11187
251.9 0.0046042 2.2058 11186
252 0.0046311 2.2179 11184
252.1 0.0046582 2.23 11183
252.2 0.0046854 2.2422 11182
252.3 0.0047127 2.2544 11180
252.4 0.0047402 2.2667 11179
252.5 0.0047678 2.279 11178
252.6 0.0047955 2.2914 11177
252.7 0.0048234 2.3038 11175
252.8 0.0048514 2.3163 11174
252.9 0.0048795 2.3289 11173
253 0.0049078 2.3415 11171
253.1 0.0049362 2.3541 11170
253.2 0.0049648 2.3669 11169
253.3 0.0049935 2.3796 11167
253.4 0.0050223 2.3925 11166
253.5 0.0050513 2.4054 11165
253.6 0.0050804 2.4183 11163
253.7 0.0051096 2.4313 11162
253.8 0.005139 2.4444 11161
253.9 0.0051686 2.4575 11159
254 0.0051982 2.4707 11158
254.1 0.0052281 2.4839 11157
254.2 0.005258 2.4972 11155
254.3 0.0052881 2.5106 11154
254.4 0.0053184 2.524 11153
254.5 0.0053488 2.5375 11151
254.6 0.0053793 2.551 11150
254.7 0.00541 2.5646 11149
254.8 0.0054409 2.5783 11148
254.9 0.0054718 2.592 11146
255 0.005503 2.6057 11145
255.1 0.0055343 2.6196 11144
255.2 0.0055657 2.6335 11142
255.3 0.0055973 2.6474 11141
255.4 0.005629 2.6614 11140
255.5 0.0056609 2.6755 11138
255.6 0.0056929 2.6896 11137
255.7 0.0057251 2.7038 11136
255.8 0.0057574 2.7181 11134
255.9 0.0057899 2.7324 11133
256 0.0058226 2.7468 11132
256.1 0.0058554 2.7612 11130
256.2 0.0058883 2.7757 11129
256.3 0.0059214 2.7903 11128
