#T = 293.15 K
#pressure (bar)	loading(mmol/g)
47.1471472	5.691198824
47.1971973	5.691277227
47.2472473	5.691355468
47.2972974	5.691433547
47.3473474	5.691511466
47.3973974	5.691589224
47.4474475	5.691666821
47.4974975	5.691744260
47.5475476	5.691821539
47.5975976	5.691898659
47.6476477	5.691975622
47.6976977	5.692052427
47.7477478	5.692129075
47.7977978	5.692205566
47.8478479	5.692281901
47.8978979	5.692358081
47.9479480	5.692434105
47.9979980	5.692509975
48.0480481	5.692585690
48.0980981	5.692661252
48.1481482	5.692736660
48.1981982	5.692811916
48.2482483	5.692887019
48.2982983	5.692961970
48.3483484	5.693036770
48.3983984	5.693111419
48.4484485	5.693185917
48.4984985	5.693260265
48.5485486	5.693334464
48.5985986	5.693408513
48.6486487	5.693482414
48.6986987	5.693556166
48.7487488	5.693629771
48.7987988	5.693703228
48.8488489	5.693776538
48.8988989	5.693849702
48.9489490	5.693922719
48.9989990	5.693995591
49.0490491	5.694068318
49.0990991	5.694140900
49.1491492	5.694213338
49.1991992	5.694285632
49.2492493	5.694357782
49.2992993	5.694429790
49.3493494	5.694501654
49.3993994	5.694573377
49.4494495	5.694644958
49.4994995	5.694716397
49.5495496	5.694787696
49.5995996	5.694858854
49.6496497	5.694929872
49.6996997	5.695000750
49.7497498	5.695071489
49.7997998	5.695142089
49.8498499	5.695212550
49.8998999	5.695282874
49.9499500	5.695353060
50.0000000	5.695423108
-------------------------------------------------------------------
#T = 149.00 K - Methane on MFI
#pressure (bar)	loading(mmol/g)
0.0001000	0.000133923
0.0002000	0.000256771
0.0003000	0.000366435
0.0004000	0.000477006
0.0005000	0.000581954
0.0006000	0.000680261
0.0007000	0.000773501
0.0008000	0.000859425
0.0009000	0.000940570
0.0010000	0.001019008
0.0019999	0.001569831
0.0029999	0.001886344
0.0039998	0.002082541
0.0049996	0.002219336
0.0059994	0.002316368
0.0069992	0.002390108
0.0079990	0.002444601
0.0089987	0.002492798
0.0099984	0.002533835
0.0199938	0.002728097
0.0299860	0.002808417
0.0399750	0.002855306
0.0499610	0.002886773
0.0599438	0.002910747
0.0699235	0.002928328
0.0799001	0.002943383
0.0898736	0.002958401
0.0998440	0.002970204
0.1993760	0.003043816
0.2985963	0.003085158
0.3975052	0.003116854
0.4961029	0.003142667
0.5943896	0.003159060
0.6923656	0.003178305
0.7900311	0.003191644
0.8873863	0.003208172
0.9844315	0.003214564
1.9378793	0.003288507
2.8605580	0.003329613
3.7526589	0.003358292
4.6143468	0.003376849
5.4457562	0.003394949
6.2469862	0.003405466
7.0180939	0.003414889
7.7590855	0.003423500
8.4699055	0.003430156
9.6483163	0.003445852
-------------------------------------------------------------------
#T = 174.00 K - Methane on MFI
#pressure (bar)	loading(mmol/g)
0.00010000	0.01510379
0.00020000	0.03014896
0.00030000	0.04481919
0.00040000	0.05979703
0.00050000	0.07471843
0.00060000	0.08922652
0.00069999	0.10334231
0.00079999	0.11796839
0.00089999	0.13244681
0.00099999	0.14643086
0.00199996	0.27809450
0.00299991	0.39823867
0.00399983	0.51708938
0.00499974	0.62559037
0.00599962	0.73046790
0.00699949	0.82384778
0.00799933	0.91325311
0.00899915	0.99541115
0.00999895	1.07212522
0.01999580	1.59913909
0.02999056	1.89371163
0.03998322	2.07812846
0.04997377	2.20435467
0.05996224	2.29845967
0.06994860	2.36944266
0.07993287	2.42765680
0.08991504	2.47122597
0.09989511	2.51359305
0.19958054	2.71268646
0.29905644	2.79764932
0.39832294	2.84728143
0.49738021	2.88225868
0.59622838	2.90900809
0.69486760	2.92863823
0.79329801	2.94625952
0.89151976	2.96418063
